Partlist

Exported from Tribble.sch at 5/22/2013 1:43:17 PM

EAGLE Version 6.2.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                    Device                          Package                Library               Sheet
R24      0                        RESISTOR0402                    0402_RES               parkers_parts         1
R25      10K                      RESISTOR0402                    0402_RES               parkers_parts         1
R26      4.7K                     RESISTOR0402                    0402_RES               parkers_parts         1
R27      10K                      RESISTOR0805                    0805                   PP_Passives           1
R28      10K                      RESISTOR0805                    0805                   PP_Passives           1
R29      4.7K                     RESISTOR0402                    0402_RES               parkers_parts         1
R30      10K                      RESISTOR0805                    0805                   PP_Passives           1
R31      10K                      RESISTOR0805                    0805                   PP_Passives           1
R32      4.7K                     RESISTOR0402                    0402_RES               parkers_parts         1
R33      10K                      RESISTOR0805                    0805                   PP_Passives           1
R34      10K                      RESISTOR0805                    0805                   PP_Passives           1
R35      20K                      RESISTOR0402                    0402_RES               parkers_parts         1
R36      LRF1206-LF-R006JT        RESISTOR1206                    1206                   PP_Passives           1
R37      10K                      RESISTOR0402                    0402_RES               parkers_parts         1
R38      22                       RESISTOR0402                    0402_RES               parkers_parts         1
R39      22                       RESISTOR0402                    0402_RES               parkers_parts         1
R40      100K                     RESISTOR0402                    0402_RES               parkers_parts         1
R41      10K                      RESISTOR0402                    0402_RES               parkers_parts         1
U1       AT90USB1287-MU           AT90USB647-MU                   MLF64                  at90usb               1
U2       MMDT3904                 MMDT3904                        SOT363                 SparkFun-DiscreteSemi 1
U3       BTM7755                  BTM7755PG-DSO-36-29             PG-DSO-36-29           PP_PowerIC            1
U4       MC78M05CDTG              FIXED_VOLTAGE_REGDPAK-3         DPAK-3                 PP_PowerIC            1
U5                                BTM7755PG-DSO-36-29             PG-DSO-36-29           PP_PowerIC            1
U6       ISL8483                  SN65176D                        SO-08                  texas                 1
U7                                BTM7755PG-DSO-36-29             PG-DSO-36-29           PP_PowerIC            1
U8       LMP8640MK-F/NOPB         LMP8640TSOT-6                   TSOT-6                 PP_AnalogIC           1
U9       MCP9701T-E/TT            MCP970XSOT-23-3                 SOT-23-3               PP_Sensors            1
U10      IP4234CZ6                IP4234CZ6SOT-457                SOT-457                PP_Passives           1
U11      AT90USB1287-AU           AT90USB647-AU                   TQFP64                 at90usb               1
U12      FDS6679AZ                MOSFET_P-CHANNEL_SINGLEP3-POWER DSO-8                  PP_DiscreteSemi       1
U13      MCP9701T-E/TT            MCP970XSOT-23-3                 SOT-23-3               PP_Sensors            1
U14      MCP9701T-E/TT            MCP970XSOT-23-3                 SOT-23-3               PP_Sensors            1
U15      BC847BMTF                BJT_NPN_SINGLESOT-23            SOT-23                 PP_DiscreteSemi       1
U16      FDV304P                  MOSFET_P-CHANNEL_SINGLESOT-23   SOT-23                 PP_DiscreteSemi       1
X1       TSX-3225 16.0000MF10U-B0 3.2X2.5MMCRYSTAL                3.2X2.5MM              kyocera-crystals      1
